"REGION_TYPE","YEAR","WEEK","TOTAL_SPECIMENS","A_2009_H1N1","A_H3","B","H3N2v","TOTAL_POSITIVES","PERCENT_POSITIVES"
"National",2002,35,588,0,0,1,0,1,0.00170068027210884
"National",2002,36,482,0,0,0,0,0,0
"National",2002,37,561,0,0,0,0,0,0
"National",2002,38,475,0,1,1,0,2,0.00421052631578947
"National",2002,39,391,0,0,2,0,2,0.0051150895140665
"National",2002,40,1443,0,0,0,0,0,0
"National",2002,41,1517,0,0,1,0,1,0.000659195781147001
"National",2002,42,1590,0,0,0,0,0,0
"National",2002,43,1774,0,0,1,0,1,0.00056369785794814
"National",2002,44,1636,0,0,3,0,3,0.00183374083129584
"National",2002,45,1988,0,2,3,0,5,0.00251509054325956
"National",2002,46,2107,0,0,4,0,4,0.0018984337921215
"National",2002,47,2091,0,0,16,0,16,0.0076518412242946
"National",2002,48,1900,0,3,6,0,9,0.00473684210526316
"National",2002,49,2414,0,3,28,0,31,0.0128417564208782
"National",2002,50,2493,0,2,73,0,75,0.0300842358604091
"National",2002,51,2910,0,3,146,0,149,0.0512027491408935
"National",2002,52,2368,0,6,119,0,125,0.0527871621621622
"National",2003,1,2632,0,8,82,0,90,0.0341945288753799
"National",2003,2,2828,0,19,134,0,153,0.0541018387553041
"National",2003,3,3108,0,11,202,0,213,0.0685328185328185
"National",2003,4,3352,0,24,276,0,300,0.0894988066825776
"National",2003,5,4166,0,53,413,0,466,0.111857897263562
"National",2003,6,4874,0,76,598,0,674,0.138284776364382
"National",2003,7,4676,0,115,517,0,632,0.135158254918734
"National",2003,8,4416,0,126,368,0,494,0.111865942028986
"National",2003,9,4348,0,101,357,0,458,0.105335786568537
"National",2003,10,3633,0,87,214,0,301,0.0828516377649326
"National",2003,11,3422,0,62,175,0,237,0.0692577440093513
"National",2003,12,3435,0,77,124,0,201,0.0585152838427948
"National",2003,13,2820,0,29,71,0,100,0.0354609929078014
"National",2003,14,2352,0,32,41,0,73,0.0310374149659864
"National",2003,15,2131,0,23,16,0,39,0.0183012670107931
"National",2003,16,1777,0,20,23,0,43,0.024198086662915
"National",2003,17,1406,0,20,11,0,31,0.0220483641536273
"National",2003,18,1222,0,16,20,0,36,0.0294599018003273
"National",2003,19,1121,0,7,10,0,17,0.0151650312221231
"National",2003,20,931,0,3,6,0,9,0.00966702470461869
"National",2003,21,872,0,5,7,0,12,0.0137614678899083
"National",2003,22,705,0,2,4,0,6,0.00851063829787234
"National",2003,23,721,0,0,8,0,8,0.0110957004160888
"National",2003,24,683,0,3,4,0,7,0.0102489019033675
"National",2003,25,551,0,1,2,0,3,0.00544464609800363
"National",2003,26,439,0,1,0,0,1,0.00227790432801822
"National",2003,27,643,0,1,0,0,1,0.0015552099533437
"National",2003,28,632,0,2,0,0,2,0.00316455696202532
"National",2003,29,697,0,4,0,0,4,0.00573888091822095
"National",2003,30,636,0,4,0,0,4,0.00628930817610063
"National",2003,31,632,0,7,1,0,8,0.0126582278481013
"National",2003,32,632,0,2,0,0,2,0.00316455696202532
"National",2003,33,761,0,2,0,0,2,0.0026281208935611
"National",2003,34,649,0,0,0,0,0,0
"National",2003,35,672,0,0,0,0,0,0
"National",2003,36,512,0,0,0,0,0,0
"National",2003,37,604,0,1,0,0,1,0.00165562913907285
"National",2003,38,535,0,1,0,0,1,0.00186915887850467
"National",2003,39,414,0,0,0,0,0,0
"National",2003,40,1430,0,2,1,0,3,0.0020979020979021
"National",2003,41,1682,0,3,0,0,3,0.00178359096313912
"National",2003,42,2176,0,17,1,0,18,0.00827205882352941
"National",2003,43,2568,0,56,4,0,60,0.0233644859813084
"National",2003,44,2753,0,100,0,0,100,0.0363240101707228
"National",2003,45,3553,0,273,3,0,276,0.0776808330987898
"National",2003,46,4595,0,381,2,0,383,0.0833514689880305
"National",2003,47,5942,0,585,8,0,593,0.0997980477953551
"National",2003,48,6479,0,489,10,0,499,0.0770180583423368
"National",2003,49,9598,0,977,32,0,1009,0.105126067930819
"National",2003,50,12422,0,1401,29,0,1430,0.115118338431815
"National",2003,51,11783,0,1084,20,0,1104,0.0936943053551727
"National",2003,52,9748,0,569,16,0,585,0.0600123102174805
"National",2003,53,8461,0,463,12,0,475,0.0561399361777568
"National",2004,1,6936,0,280,9,0,289,0.0416666666666667
"National",2004,2,5411,0,169,5,0,174,0.03215671779708
"National",2004,3,4329,0,96,3,0,99,0.0228690228690229
"National",2004,4,4166,0,93,3,0,96,0.0230436869899184
"National",2004,5,3661,0,46,2,0,48,0.0131111718109806
"National",2004,6,3530,0,24,5,0,29,0.00821529745042493
"National",2004,7,3136,0,29,8,0,37,0.0117984693877551
"National",2004,8,2559,0,16,12,0,28,0.0109417741305197
"National",2004,9,2651,0,4,8,0,12,0.004526593738212
"National",2004,10,2369,0,2,6,0,8,0.00337695230054875
"National",2004,11,2239,0,4,2,0,6,0.00267976775346137
"National",2004,12,1801,0,5,15,0,20,0.0111049416990561
"National",2004,13,1850,0,3,9,0,12,0.00648648648648649
"National",2004,14,1778,0,0,8,0,8,0.00449943757030371
"National",2004,15,1564,0,0,12,0,12,0.00767263427109974
"National",2004,16,1449,0,2,11,0,13,0.00897170462387854
"National",2004,17,1377,0,0,7,0,7,0.00508351488743646
"National",2004,18,1298,0,0,6,0,6,0.00462249614791988
"National",2004,19,1241,0,0,2,0,2,0.0016116035455278
"National",2004,20,1105,0,0,3,0,3,0.00271493212669683
"National",2004,21,1055,0,1,3,0,4,0.0037914691943128
"National",2004,22,823,0,0,4,0,4,0.00486026731470231
"National",2004,23,793,0,0,2,0,2,0.00252206809583859
"National",2004,24,844,0,0,2,0,2,0.0023696682464455
"National",2004,25,741,0,1,1,0,2,0.00269905533063428
"National",2004,26,730,0,1,2,0,3,0.00410958904109589
"National",2004,27,573,0,0,1,0,1,0.00174520069808028
"National",2004,28,746,0,0,2,0,2,0.00268096514745308
"National",2004,29,563,0,0,2,0,2,0.00355239786856128
"National",2004,30,671,0,0,0,0,0,0
"National",2004,31,628,0,1,1,0,2,0.00318471337579618
"National",2004,32,620,0,1,0,0,1,0.00161290322580645
"National",2004,33,647,0,0,1,0,1,0.00154559505409583
"National",2004,34,823,0,0,1,0,1,0.00121506682867558
"National",2004,35,827,0,4,0,0,4,0.00483675937122128
"National",2004,36,822,0,0,3,0,3,0.00364963503649635
"National",2004,37,907,0,1,2,0,3,0.00330760749724366
"National",2004,38,890,0,2,1,0,3,0.00337078651685393
"National",2004,39,919,0,4,2,0,6,0.00652883569096844
"National",2004,40,1860,0,5,4,0,9,0.00483870967741936
"National",2004,41,2154,0,10,1,0,11,0.00510677808727948
"National",2004,42,2412,0,16,11,0,27,0.0111940298507463
"National",2004,43,2620,0,13,7,0,20,0.00763358778625954
"National",2004,44,2771,0,19,16,0,35,0.0126308191988452
"National",2004,45,3074,0,28,24,0,52,0.0169160702667534
"National",2004,46,3310,0,41,21,0,62,0.0187311178247734
"National",2004,47,3111,0,18,21,0,39,0.0125361620057859
"National",2004,48,3826,0,65,32,0,97,0.0253528489283847
"National",2004,49,3846,0,88,32,0,120,0.031201248049922
"National",2004,50,4359,0,114,45,0,159,0.0364762560220234
"National",2004,51,4509,0,186,54,0,240,0.053226879574185
"National",2004,52,5807,0,340,123,0,463,0.0797313587050112
"National",2005,1,6921,0,405,166,0,571,0.0825025285363387
"National",2005,2,6646,0,308,182,0,490,0.0737285585314475
"National",2005,3,6948,0,377,212,0,589,0.0847725964306275
"National",2005,4,8010,0,514,306,0,820,0.102372034956305
"National",2005,5,8654,0,687,424,0,1111,0.128379939912179
"National",2005,6,9684,0,640,478,0,1118,0.115448161916563
"National",2005,7,10586,0,692,613,0,1305,0.123276024938598
"National",2005,8,9710,0,524,618,0,1142,0.117610710607621
"National",2005,9,8511,0,228,520,0,748,0.0878862648337446
"National",2005,10,7580,0,163,418,0,581,0.0766490765171504
"National",2005,11,6540,0,148,471,0,619,0.0946483180428135
"National",2005,12,5928,0,103,463,0,566,0.0954790823211876
"National",2005,13,5134,0,54,343,0,397,0.0773276197896377
"National",2005,14,3894,0,47,212,0,259,0.066512583461736
"National",2005,15,3339,0,14,123,0,137,0.0410302485774184
"National",2005,16,2933,0,21,75,0,96,0.0327309921581998
"National",2005,17,2570,0,12,42,0,54,0.021011673151751
"National",2005,18,2250,0,10,33,0,43,0.0191111111111111
"National",2005,19,2136,0,13,19,0,32,0.0149812734082397
"National",2005,20,1889,0,20,16,0,36,0.0190577024880889
"National",2005,21,1809,0,9,19,0,28,0.0154781647318961
"National",2005,22,1682,0,5,15,0,20,0.0118906064209275
"National",2005,23,1576,0,4,8,0,12,0.00761421319796954
"National",2005,24,1514,0,3,10,0,13,0.00858652575957728
"National",2005,25,1229,0,5,5,0,10,0.0081366965012205
"National",2005,26,1215,0,0,1,0,1,0.000823045267489712
"National",2005,27,1073,0,1,4,0,5,0.00465983224603914
"National",2005,28,991,0,0,2,0,2,0.00201816347124117
"National",2005,29,983,0,0,2,0,2,0.00203458799593082
"National",2005,30,1124,0,1,1,0,2,0.00177935943060498
"National",2005,31,1018,0,0,0,0,0,0
"National",2005,32,964,0,3,0,0,3,0.00311203319502075
"National",2005,33,989,0,0,0,0,0,0
"National",2005,34,1016,0,2,0,0,2,0.00196850393700787
"National",2005,35,1054,0,2,1,0,3,0.00284629981024668
"National",2005,36,1031,0,1,0,0,1,0.000969932104752667
"National",2005,37,1099,0,4,1,0,5,0.00454959053685168
"National",2005,38,1280,0,2,0,0,2,0.0015625
"National",2005,39,1421,0,2,1,0,3,0.00211118930330753
"National",2005,40,1894,0,6,1,0,7,0.00369588173178458
"National",2005,41,2191,0,6,2,0,8,0.00365130077590141
"National",2005,42,2349,0,12,5,0,17,0.00723712217965092
"National",2005,43,2780,0,6,2,0,8,0.00287769784172662
"National",2005,44,2890,0,13,3,0,16,0.0055363321799308
"National",2005,45,3320,0,21,7,0,28,0.00843373493975904
"National",2005,46,3861,0,18,4,0,22,0.0056980056980057
"National",2005,47,3268,0,19,3,0,22,0.00673194614443084
"National",2005,48,4056,0,57,2,0,59,0.0145463510848126
"National",2005,49,3863,0,126,8,0,134,0.0346880662697385
"National",2005,50,4618,0,269,5,0,274,0.0593330446080554
"National",2005,51,5418,0,296,11,0,307,0.0566629752676264
"National",2005,52,5829,0,336,23,0,359,0.0615886086807343
"National",2006,1,6417,0,259,24,0,283,0.0441016051114228
"National",2006,2,6378,0,297,22,0,319,0.0500156788962057
"National",2006,3,6255,0,285,29,0,314,0.0501998401278977
"National",2006,4,6732,0,308,33,0,341,0.0506535947712418
"National",2006,5,7029,0,314,74,0,388,0.0551998861858017
"National",2006,6,7226,0,321,142,0,463,0.0640741765845558
"National",2006,7,8105,0,372,184,0,556,0.0685996298581123
"National",2006,8,7948,0,364,242,0,606,0.0762455963764469
"National",2006,9,7978,0,435,396,0,831,0.10416144397092
"National",2006,10,7819,0,411,408,0,819,0.104744852282901
"National",2006,11,6995,0,276,441,0,717,0.102501786990708
"National",2006,12,6444,0,181,432,0,613,0.0951272501551831
"National",2006,13,5424,0,134,438,0,572,0.105457227138643
"National",2006,14,4459,0,53,312,0,365,0.0818569185916125
"National",2006,15,4032,0,51,241,0,292,0.0724206349206349
"National",2006,16,3499,0,30,218,0,248,0.0708773935410117
"National",2006,17,2675,0,2,135,0,137,0.051214953271028
"National",2006,18,2516,0,7,128,0,135,0.0536565977742448
"National",2006,19,2453,0,0,116,0,116,0.047289033836119
"National",2006,20,2399,0,1,87,0,88,0.0366819508128387
"National",2006,21,2058,0,0,93,0,93,0.0451895043731778
"National",2006,22,1663,0,0,50,0,50,0.0300661455201443
"National",2006,23,1444,0,0,38,0,38,0.0263157894736842
"National",2006,24,1267,0,0,11,0,11,0.00868192580899763
"National",2006,25,1178,0,0,10,0,10,0.00848896434634975
"National",2006,26,1017,0,1,6,0,7,0.00688298918387414
"National",2006,27,907,0,0,2,0,2,0.00220507166482911
"National",2006,28,914,0,1,0,0,1,0.00109409190371991
"National",2006,29,917,0,0,2,0,2,0.00218102508178844
"National",2006,30,863,0,1,2,0,3,0.00347624565469293
"National",2006,31,943,0,0,1,0,1,0.00106044538706257
"National",2006,32,899,0,0,2,0,2,0.00222469410456062
"National",2006,33,862,0,0,2,0,2,0.00232018561484919
"National",2006,34,898,0,0,3,0,3,0.00334075723830735
"National",2006,35,907,0,0,4,0,4,0.00441014332965821
"National",2006,36,881,0,0,0,0,0,0
"National",2006,37,1067,0,0,1,0,1,0.000937207122774133
"National",2006,38,996,0,0,2,0,2,0.00200803212851406
"National",2006,39,971,0,0,3,0,3,0.00308959835221421
"National",2006,40,2309,0,2,15,0,17,0.00736249458640104
"National",2006,41,2502,0,1,9,0,10,0.00399680255795364
"National",2006,42,2900,0,4,22,0,26,0.00896551724137931
"National",2006,43,3237,0,2,23,0,25,0.00772320049428483
"National",2006,44,3765,0,1,42,0,43,0.0114209827357238
"National",2006,45,4262,0,1,43,0,44,0.010323791647114
"National",2006,46,4525,0,2,32,0,34,0.00751381215469613
"National",2006,47,4538,0,2,28,0,30,0.00661084178052005
"National",2006,48,5642,0,1,54,0,55,0.0097483161999291
"National",2006,49,5805,0,2,62,0,64,0.0110249784668389
"National",2006,50,6686,0,9,120,0,129,0.0192940472629375
"National",2006,51,7083,0,10,133,0,143,0.0201891853734293
"National",2006,52,6777,0,14,123,0,137,0.020215434558064
"National",2007,1,6711,0,14,86,0,100,0.0149009089554463
"National",2007,2,6430,0,35,86,0,121,0.0188180404354588
"National",2007,3,6200,0,44,80,0,124,0.02
"National",2007,4,7200,0,86,154,0,240,0.0333333333333333
"National",2007,5,8261,0,107,203,0,310,0.0375257232780535
"National",2007,6,8986,0,133,411,0,544,0.0605386156243045
"National",2007,7,9780,0,133,416,0,549,0.0561349693251534
"National",2007,8,9947,0,156,526,0,682,0.0685633859455112
"National",2007,9,8634,0,192,550,0,742,0.0859393097058142
"National",2007,10,7848,0,199,470,0,669,0.0852446483180428
"National",2007,11,6928,0,207,430,0,637,0.091945727482679
"National",2007,12,6460,0,165,369,0,534,0.0826625386996904
"National",2007,13,5558,0,173,211,0,384,0.0690896005757467
"National",2007,14,4698,0,101,156,0,257,0.0547041294167731
"National",2007,15,4243,0,186,140,0,326,0.0768324298845157
"National",2007,16,3857,0,126,81,0,207,0.0536686543946072
"National",2007,17,3015,0,119,68,0,187,0.0620232172470978
"National",2007,18,3006,0,81,56,0,137,0.0455755156353959
"National",2007,19,2531,0,38,38,0,76,0.0300276570525484
"National",2007,20,2341,0,23,27,0,50,0.0213583938487826
"National",2007,21,1944,0,32,14,0,46,0.0236625514403292
"National",2007,22,1696,0,7,9,0,16,0.00943396226415094
"National",2007,23,1670,0,5,4,0,9,0.00538922155688623
"National",2007,24,1529,0,6,7,0,13,0.00850228907782865
"National",2007,25,1300,0,1,2,0,3,0.00230769230769231
"National",2007,26,1278,0,1,4,0,5,0.00391236306729264
"National",2007,27,1121,0,3,5,0,8,0.00713648528099911
"National",2007,28,1195,0,8,2,0,10,0.00836820083682008
"National",2007,29,1154,0,3,1,0,4,0.00346620450606586
"National",2007,30,1165,0,7,2,0,9,0.00772532188841202
"National",2007,31,1217,0,6,2,0,8,0.00657354149548069
"National",2007,32,1157,0,5,4,0,9,0.00777873811581677
"National",2007,33,1120,0,2,0,0,2,0.00178571428571429
"National",2007,34,1170,0,0,1,0,1,0.000854700854700855
"National",2007,35,1204,0,0,7,0,7,0.00581395348837209
"National",2007,36,1093,0,0,0,0,0,0
"National",2007,37,1228,0,1,7,0,8,0.00651465798045603
"National",2007,38,954,0,1,3,0,4,0.00419287211740042
"National",2007,39,1052,0,1,0,0,1,0.000950570342205323
"National",2007,40,2381,0,2,5,0,7,0.00293994120117598
"National",2007,41,2534,0,3,0,0,3,0.00118389897395422
"National",2007,42,2953,0,2,2,0,4,0.00135455469014561
"National",2007,43,3179,0,2,5,0,7,0.00220195029883611
"National",2007,44,3575,0,0,11,0,11,0.00307692307692308
"National",2007,45,3797,0,10,11,0,21,0.00553068211746115
"National",2007,46,4131,0,6,2,0,8,0.00193657709997579
"National",2007,47,4040,0,2,13,0,15,0.00371287128712871
"National",2007,48,4855,0,12,14,0,26,0.00535530381050463
"National",2007,49,4909,0,10,22,0,32,0.00651863923405989
"National",2007,50,5157,0,22,26,0,48,0.00930773705642816
"National",2007,51,5877,0,28,51,0,79,0.0134422324315127
"National",2007,52,6269,0,26,86,0,112,0.0178656883075451
"National",2008,1,6829,0,61,107,0,168,0.0246009664665398
"National",2008,2,7383,0,145,163,0,308,0.0417174590274956
"National",2008,3,7814,0,205,209,0,414,0.0529818274891221
"National",2008,4,9474,0,385,342,0,727,0.0767363310111885
"National",2008,5,13459,0,627,660,0,1287,0.0956237461921391
"National",2008,6,15342,0,841,930,0,1771,0.115434754269326
"National",2008,7,15171,0,837,1085,0,1922,0.12668907784589
"National",2008,8,17359,0,975,1383,0,2358,0.135837317817847
"National",2008,9,16097,0,823,1412,0,2235,0.138845747654843
"National",2008,10,15181,0,630,1387,0,2017,0.132863447730716
"National",2008,11,11648,0,484,1095,0,1579,0.135559752747253
"National",2008,12,9498,0,395,903,0,1298,0.136660349547273
"National",2008,13,7800,0,178,777,0,955,0.122435897435897
"National",2008,14,6183,0,110,511,0,621,0.100436681222707
"National",2008,15,5285,0,56,416,0,472,0.0893093661305582
"National",2008,16,4103,0,32,234,0,266,0.0648306117475018
"National",2008,17,3556,0,11,131,0,142,0.0399325084364454
"National",2008,18,2724,0,9,79,0,88,0.0323054331864905
"National",2008,19,2539,0,10,43,0,53,0.0208743599842458
"National",2008,20,2414,0,4,20,0,24,0.00994200497100249
"National",2008,21,2115,0,4,15,0,19,0.00898345153664303
"National",2008,22,1927,0,2,10,0,12,0.00622729631551635
"National",2008,23,1850,0,1,5,0,6,0.00324324324324324
"National",2008,24,1502,0,0,7,0,7,0.00466045272969374
"National",2008,25,1467,0,2,2,0,4,0.0027266530334015
"National",2008,26,1325,0,0,6,0,6,0.00452830188679245
"National",2008,27,1203,0,0,3,0,3,0.00249376558603491
"National",2008,28,1269,0,1,4,0,5,0.00394011032308905
"National",2008,29,1203,0,0,2,0,2,0.00166251039068994
"National",2008,30,1163,0,5,0,0,5,0.00429922613929493
"National",2008,31,1125,0,1,4,0,5,0.00444444444444444
"National",2008,32,1102,0,0,1,0,1,0.000907441016333938
"National",2008,33,1053,0,0,1,0,1,0.000949667616334283
"National",2008,34,1090,0,1,3,0,4,0.0036697247706422
"National",2008,35,1271,0,0,3,0,3,0.002360346184107
"National",2008,36,1336,0,0,0,0,0,0
"National",2008,37,1562,0,2,2,0,4,0.00256081946222791
"National",2008,38,1886,0,3,3,0,6,0.0031813361611877
"National",2008,39,2009,0,0,2,0,2,0.000995520159283225
"National",2008,40,2759,0,0,6,0,6,0.00217470097861544
"National",2008,41,2874,0,4,6,0,10,0.0034794711203897
"National",2008,42,2937,0,3,6,0,9,0.00306435137895812
"National",2008,43,3434,0,0,15,0,15,0.00436808386721025
"National",2008,44,3545,0,3,6,0,9,0.00253878702397743
"National",2008,45,4154,0,3,12,0,15,0.00361097737120847
"National",2008,46,4418,0,2,12,0,14,0.003168854685378
"National",2008,47,4739,0,1,26,0,27,0.00569740451572062
"National",2008,48,4836,0,1,20,0,21,0.0043424317617866
"National",2008,49,5598,0,6,18,0,24,0.00428724544480171
"National",2008,50,5989,0,10,42,0,52,0.00868258473868759
"National",2008,51,6301,0,19,60,0,79,0.0125376924297731
"National",2008,52,6031,0,14,45,0,59,0.00978278892389322
"National",2008,53,6592,0,19,50,0,69,0.0104672330097087
"National",2009,1,6981,0,35,79,0,114,0.0163300386764074
"National",2009,2,6995,0,25,103,0,128,0.0182987848463188
"National",2009,3,7943,0,51,190,0,241,0.0303411809140123
"National",2009,4,9484,0,81,381,0,462,0.0487136229439055
"National",2009,5,11707,0,55,687,0,742,0.0633808832322542
"National",2009,6,12691,0,68,947,0,1015,0.0799779371207943
"National",2009,7,11741,0,73,931,0,1004,0.0855123072992079
"National",2009,8,11912,0,58,1152,0,1210,0.101578240429819
"National",2009,9,10970,0,69,1168,0,1237,0.112762078395624
"National",2009,10,9595,0,70,1062,0,1132,0.117978113600834
"National",2009,11,8628,0,63,919,0,982,0.11381548446917
"National",2009,12,7343,0,45,631,0,676,0.0920604657496936
"National",2009,13,5778,0,27,472,0,499,0.086362062997577
"National",2009,14,5095,0,35,276,0,311,0.0610402355250245
"National",2009,15,4674,0,29,185,0,214,0.0457851946940522
"National",2009,16,4219,14,37,113,0,164,0.0388717705617445
"National",2009,17,36203,1354,935,800,0,3089,0.0853244206281247
"National",2009,18,34659,2484,893,486,0,3863,0.111457341527453
"National",2009,19,16820,1741,298,134,0,2173,0.129191438763377
"National",2009,20,15410,2796,322,93,0,3211,0.208371187540558
"National",2009,21,13483,3144,304,42,0,3490,0.2588444708151
"National",2009,22,13553,3967,441,24,0,4432,0.327012469563934
"National",2009,23,13762,4203,268,15,0,4486,0.325970062490917
"National",2009,24,14264,4587,221,9,0,4817,0.337703309029725
"National",2009,25,12117,3267,76,6,0,3349,0.276388545019394
"National",2009,26,10913,2637,41,7,0,2685,0.246036836800147
"National",2009,27,10713,2753,45,7,0,2805,0.261831419770372
"National",2009,28,9808,2123,29,3,0,2155,0.219718597063622
"National",2009,29,8646,1901,16,3,0,1920,0.22206800832755
"National",2009,30,9184,1990,11,4,0,2005,0.218314459930314
"National",2009,31,8424,1471,7,2,0,1480,0.175688509021842
"National",2009,32,8572,1462,8,5,0,1475,0.172071861875875
"National",2009,33,10003,1905,18,1,0,1924,0.192342297310807
"National",2009,34,11636,1792,15,15,0,1822,0.156583018219319
"National",2009,35,13008,1798,11,1,0,1810,0.139145141451415
"National",2009,36,14896,2132,6,10,0,2148,0.144199785177229
"National",2009,37,16682,2456,1,4,0,2461,0.147524277664549
"National",2009,38,16820,2614,6,11,0,2631,0.156420927467301
"National",2009,39,15419,3456,4,12,0,3472,0.225176730008431
"National",2009,40,23980,6178,2,21,0,6201,0.258590492076731
"National",2009,41,29005,8858,0,18,0,8876,0.306016204102741
"National",2009,42,31511,10050,5,32,0,10087,0.320110437624956
"National",2009,43,28104,7968,2,17,0,7987,0.284194420723029
"National",2009,44,24986,6208,2,24,0,6234,0.249499719843112
"National",2009,45,21788,4812,2,14,0,4828,0.221589865981274
"National",2009,46,18493,2848,0,12,0,2860,0.15465311198832
"National",2009,47,13301,1474,3,5,0,1482,0.111420193970378
"National",2009,48,13134,1048,0,30,0,1078,0.0820770519262982
"National",2009,49,11364,630,3,16,0,649,0.0571101724744808
"National",2009,50,10494,496,3,13,0,512,0.0487897846388412
"National",2009,51,8622,273,0,4,0,277,0.0321271166782649
"National",2009,52,9617,311,1,9,0,321,0.0333783924300717
"National",2010,1,9456,272,1,11,0,284,0.0300338409475465
"National",2010,2,8753,272,3,11,0,286,0.0326745115960242
"National",2010,3,8468,324,1,1,0,326,0.038497874350496
"National",2010,4,8378,282,3,9,0,294,0.0350919073764622
"National",2010,5,8243,307,0,10,0,317,0.038456872497877
"National",2010,6,8099,250,0,9,0,259,0.0319792566983578
"National",2010,7,8375,281,0,7,0,288,0.0343880597014925
"National",2010,8,8074,335,1,3,0,339,0.0419866237304929
"National",2010,9,7514,353,0,6,0,359,0.0477774820335374
"National",2010,10,7502,364,0,13,0,377,0.0502532657957878
"National",2010,11,6485,262,1,4,0,267,0.0411719352351581
"National",2010,12,5654,180,1,11,0,192,0.0339582596391935
"National",2010,13,5246,166,1,6,0,173,0.0329775066717499
"National",2010,14,4716,102,1,1,0,104,0.0220525869380831
"National",2010,15,4095,60,2,8,0,70,0.0170940170940171
"National",2010,16,3740,20,2,13,0,35,0.00935828877005348
"National",2010,17,3660,17,0,4,0,21,0.00573770491803279
"National",2010,18,3117,18,1,3,0,22,0.00705806865575874
"National",2010,19,2891,6,2,4,0,12,0.00415081286751989
"National",2010,20,2903,7,1,3,0,11,0.00378918360316914
"National",2010,21,2689,0,0,2,0,2,0.000743770918557084
"National",2010,22,2136,3,1,2,0,6,0.00280898876404494
"National",2010,23,2163,1,1,3,0,5,0.00231160425335183
"National",2010,24,2033,1,4,3,0,8,0.00393507132316773
"National",2010,25,1987,3,4,0,0,7,0.00352289884247609
"National",2010,26,1820,1,1,1,0,3,0.00164835164835165
"National",2010,27,1636,1,4,0,0,5,0.00305623471882641
"National",2010,28,1620,2,7,2,0,11,0.00679012345679012
"National",2010,29,1606,3,2,3,0,8,0.0049813200498132
"National",2010,30,1686,1,13,5,0,19,0.0112692763938316
"National",2010,31,1520,4,9,1,0,14,0.00921052631578947
"National",2010,32,1676,7,10,10,0,27,0.016109785202864
"National",2010,33,1790,5,11,3,0,19,0.0106145251396648
"National",2010,34,1967,10,18,6,0,34,0.0172852058973055
"National",2010,35,2212,7,14,4,0,25,0.0113019891500904
"National",2010,36,2336,9,16,4,0,29,0.0124143835616438
